"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","% Total Population: Under 5 Years","% Total Population: 5 to 9 Years","% Total Population: 10 to 14 Years","% Total Population: 15 to 17 Years","% Total Population: 18 to 24 Years","% Total Population: 25 to 34 Years","% Total Population: 35 to 44 Years","% Total Population: 45 to 54 Years","% Total Population: 55 to 64 Years","% Total Population: 65 to 74 Years","% Total Population: 75 to 84 Years","% Total Population: 85 Years and Over"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"ACSSF","ca","140","00","0006180",,,,,"06","037",,,"572301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037572301","Census Tract 5723.01",,,"Census Tract 5723.01, Los Angeles County, California","06037572301","819237","0",,,,,,,,3805,130,287,387,114,469,625,588,410,552,167,73,3,3.42,7.54,10.17,3,12.33,16.43,15.45,10.78,14.51,4.39,1.92,0.08
"ACSSF","ca","140","00","0006181",,,,,"06","037",,,"572500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037572500","Census Tract 5725",,,"Census Tract 5725, Los Angeles County, California","06037572500","592705","0",,,,,,,,3681,140,387,172,238,367,397,388,402,391,455,191,153,3.8,10.51,4.67,6.47,9.97,10.79,10.54,10.92,10.62,12.36,5.19,4.16
"ACSSF","ca","140","00","0006182",,,,,"06","037",,,"572600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037572600","Census Tract 5726",,,"Census Tract 5726, Los Angeles County, California","06037572600","1223342","49301",,,,,,,,4923,178,276,301,223,643,586,644,641,819,372,194,46,3.62,5.61,6.11,4.53,13.06,11.9,13.08,13.02,16.64,7.56,3.94,0.93
"ACSSF","ca","140","00","0006183",,,,,"06","037",,,"572700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037572700","Census Tract 5727",,,"Census Tract 5727, Los Angeles County, California","06037572700","1002316","72083",,,,,,,,5361,203,296,457,210,616,699,672,660,870,420,204,54,3.79,5.52,8.52,3.92,11.49,13.04,12.53,12.31,16.23,7.83,3.81,1.01
"ACSSF","ca","140","00","0006184",,,,,"06","037",,,"573002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573002","Census Tract 5730.02",,,"Census Tract 5730.02, Los Angeles County, California","06037573002","324505","0",,,,,,,,3464,256,405,240,111,320,779,421,348,245,200,51,88,7.39,11.69,6.93,3.2,9.24,22.49,12.15,10.05,7.07,5.77,1.47,2.54
"ACSSF","ca","140","00","0006185",,,,,"06","037",,,"573003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573003","Census Tract 5730.03",,,"Census Tract 5730.03, Los Angeles County, California","06037573003","401152","46959",,,,,,,,1813,116,119,117,51,193,295,259,286,197,138,37,5,6.4,6.56,6.45,2.81,10.65,16.27,14.29,15.77,10.87,7.61,2.04,0.28
"ACSSF","ca","140","00","0006186",,,,,"06","037",,,"573004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573004","Census Tract 5730.04",,,"Census Tract 5730.04, Los Angeles County, California","06037573004","410913","0",,,,,,,,4977,371,247,344,190,371,951,823,529,833,139,159,20,7.45,4.96,6.91,3.82,7.45,19.11,16.54,10.63,16.74,2.79,3.19,0.4
"ACSSF","ca","140","00","0006187",,,,,"06","037",,,"573101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573101","Census Tract 5731.01",,,"Census Tract 5731.01, Los Angeles County, California","06037573101","526756","0",,,,,,,,4583,301,411,288,139,440,1047,485,504,494,261,41,172,6.57,8.97,6.28,3.03,9.6,22.85,10.58,11,10.78,5.69,0.89,3.75
"ACSSF","ca","140","00","0006188",,,,,"06","037",,,"573102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573102","Census Tract 5731.02",,,"Census Tract 5731.02, Los Angeles County, California","06037573102","613548","52679",,,,,,,,2795,212,194,135,154,220,502,440,359,348,170,45,16,7.58,6.94,4.83,5.51,7.87,17.96,15.74,12.84,12.45,6.08,1.61,0.57
"ACSSF","ca","140","00","0006189",,,,,"06","037",,,"573201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573201","Census Tract 5732.01",,,"Census Tract 5732.01, Los Angeles County, California","06037573201","601396","0",,,,,,,,4422,216,277,467,237,607,672,620,585,477,141,120,3,4.88,6.26,10.56,5.36,13.73,15.2,14.02,13.23,10.79,3.19,2.71,0.07
"ACSSF","ca","140","00","0006190",,,,,"06","037",,,"573202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573202","Census Tract 5732.02",,,"Census Tract 5732.02, Los Angeles County, California","06037573202","649039","0",,,,,,,,6685,677,414,440,219,630,1085,956,708,662,634,218,42,10.13,6.19,6.58,3.28,9.42,16.23,14.3,10.59,9.9,9.48,3.26,0.63
"ACSSF","ca","140","00","0006191",,,,,"06","037",,,"573300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573300","Census Tract 5733",,,"Census Tract 5733, Los Angeles County, California","06037573300","785598","0",,,,,,,,4203,199,373,360,74,585,642,695,478,438,246,54,59,4.73,8.87,8.57,1.76,13.92,15.27,16.54,11.37,10.42,5.85,1.28,1.4
"ACSSF","ca","140","00","0006192",,,,,"06","037",,,"573401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573401","Census Tract 5734.01",,,"Census Tract 5734.01, Los Angeles County, California","06037573401","1035868","4445",,,,,,,,1561,171,40,119,82,84,240,277,170,179,125,25,49,10.95,2.56,7.62,5.25,5.38,15.37,17.75,10.89,11.47,8.01,1.6,3.14
"ACSSF","ca","140","00","0006193",,,,,"06","037",,,"573402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573402","Census Tract 5734.02",,,"Census Tract 5734.02, Los Angeles County, California","06037573402","2963452","0",,,,,,,,7045,565,429,482,90,595,1547,953,1129,591,586,72,6,8.02,6.09,6.84,1.28,8.45,21.96,13.53,16.03,8.39,8.32,1.02,0.09
"ACSSF","ca","140","00","0006194",,,,,"06","037",,,"573403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573403","Census Tract 5734.03",,,"Census Tract 5734.03, Los Angeles County, California","06037573403","1664763","0",,,,,,,,3174,167,78,157,0,237,553,431,538,550,196,238,29,5.26,2.46,4.95,0,7.47,17.42,13.58,16.95,17.33,6.18,7.5,0.91
"ACSSF","ca","140","00","0006195",,,,,"06","037",,,"573601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573601","Census Tract 5736.01",,,"Census Tract 5736.01, Los Angeles County, California","06037573601","3724951","1760",,,,,,,,6335,393,460,251,111,265,735,717,1084,1004,860,279,176,6.2,7.26,3.96,1.75,4.18,11.6,11.32,17.11,15.85,13.58,4.4,2.78
"ACSSF","ca","140","00","0006196",,,,,"06","037",,,"573700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573700","Census Tract 5737",,,"Census Tract 5737, Los Angeles County, California","06037573700","1817080","1861",,,,,,,,5177,612,312,387,113,403,484,932,719,547,390,181,97,11.82,6.03,7.48,2.18,7.78,9.35,18,13.89,10.57,7.53,3.5,1.87
"ACSSF","ca","140","00","0006197",,,,,"06","037",,,"573800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573800","Census Tract 5738",,,"Census Tract 5738, Los Angeles County, California","06037573800","1534014","0",,,,,,,,4359,217,235,308,111,334,360,632,734,558,531,158,181,4.98,5.39,7.07,2.55,7.66,8.26,14.5,16.84,12.8,12.18,3.62,4.15
"ACSSF","ca","140","00","0006198",,,,,"06","037",,,"573902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037573902","Census Tract 5739.02",,,"Census Tract 5739.02, Los Angeles County, California","06037573902","700131","11619",,,,,,,,2012,36,61,191,98,68,132,190,355,285,289,192,115,1.79,3.03,9.49,4.87,3.38,6.56,9.44,17.64,14.17,14.36,9.54,5.72
"ACSSF","ca","140","00","0006199",,,,,"06","037",,,"574000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574000","Census Tract 5740",,,"Census Tract 5740, Los Angeles County, California","06037574000","1819895","0",,,,,,,,5182,206,283,304,204,283,334,740,994,695,567,422,150,3.98,5.46,5.87,3.94,5.46,6.45,14.28,19.18,13.41,10.94,8.14,2.89
"ACSSF","ca","140","00","0006200",,,,,"06","037",,,"574100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574100","Census Tract 5741",,,"Census Tract 5741, Los Angeles County, California","06037574100","1829547","9607",,,,,,,,5227,289,356,452,176,266,576,855,721,676,693,105,62,5.53,6.81,8.65,3.37,5.09,11.02,16.36,13.79,12.93,13.26,2.01,1.19
"ACSSF","ca","140","00","0006201",,,,,"06","037",,,"574201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574201","Census Tract 5742.01",,,"Census Tract 5742.01, Los Angeles County, California","06037574201","1279087","15561",,,,,,,,3089,106,254,201,206,163,277,514,633,378,113,121,123,3.43,8.22,6.51,6.67,5.28,8.97,16.64,20.49,12.24,3.66,3.92,3.98
"ACSSF","ca","140","00","0006202",,,,,"06","037",,,"574202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574202","Census Tract 5742.02",,,"Census Tract 5742.02, Los Angeles County, California","06037574202","1336503","3008",,,,,,,,2376,114,98,181,44,243,384,272,234,371,190,133,112,4.8,4.12,7.62,1.85,10.23,16.16,11.45,9.85,15.61,8,5.6,4.71
"ACSSF","ca","140","00","0006203",,,,,"06","037",,,"574300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574300","Census Tract 5743",,,"Census Tract 5743, Los Angeles County, California","06037574300","2450925","30093",,,,,,,,6182,451,113,625,308,402,918,914,709,800,469,359,114,7.3,1.83,10.11,4.98,6.5,14.85,14.78,11.47,12.94,7.59,5.81,1.84
"ACSSF","ca","140","00","0006204",,,,,"06","037",,,"574400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574400","Census Tract 5744",,,"Census Tract 5744, Los Angeles County, California","06037574400","3331253","69240",,,,,,,,5790,411,196,586,164,456,559,755,774,1038,593,170,88,7.1,3.39,10.12,2.83,7.88,9.65,13.04,13.37,17.93,10.24,2.94,1.52
"ACSSF","ca","140","00","0006205",,,,,"06","037",,,"574500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574500","Census Tract 5745",,,"Census Tract 5745, Los Angeles County, California","06037574500","2549290","174070",,,,,,,,6793,438,438,334,213,646,473,912,924,1116,864,211,224,6.45,6.45,4.92,3.14,9.51,6.96,13.43,13.6,16.43,12.72,3.11,3.3
"ACSSF","ca","140","00","0006206",,,,,"06","037",,,"574602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574602","Census Tract 5746.02",,,"Census Tract 5746.02, Los Angeles County, California","06037574602","574256","16243",,,,,,,,1311,118,28,52,39,15,133,216,117,229,124,118,122,9,2.14,3.97,2.97,1.14,10.14,16.48,8.92,17.47,9.46,9,9.31
"ACSSF","ca","140","00","0006207",,,,,"06","037",,,"574800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574800","Census Tract 5748",,,"Census Tract 5748, Los Angeles County, California","06037574800","1108069","0",,,,,,,,3130,176,101,197,9,250,438,427,438,552,224,253,65,5.62,3.23,6.29,0.29,7.99,13.99,13.64,13.99,17.64,7.16,8.08,2.08
"ACSSF","ca","140","00","0006208",,,,,"06","037",,,"574901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574901","Census Tract 5749.01",,,"Census Tract 5749.01, Los Angeles County, California","06037574901","1341384","0",,,,,,,,3849,175,190,222,138,325,570,456,739,641,219,141,33,4.55,4.94,5.77,3.59,8.44,14.81,11.85,19.2,16.65,5.69,3.66,0.86
"ACSSF","ca","140","00","0006209",,,,,"06","037",,,"574902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037574902","Census Tract 5749.02",,,"Census Tract 5749.02, Los Angeles County, California","06037574902","803318","0",,,,,,,,5642,417,182,256,89,2239,733,699,398,407,164,39,19,7.39,3.23,4.54,1.58,39.68,12.99,12.39,7.05,7.21,2.91,0.69,0.34
"ACSSF","ca","140","00","0006210",,,,,"06","037",,,"575001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575001","Census Tract 5750.01",,,"Census Tract 5750.01, Los Angeles County, California","06037575001","975068","0",,,,,,,,4295,283,72,273,127,273,1329,524,592,487,209,85,41,6.59,1.68,6.36,2.96,6.36,30.94,12.2,13.78,11.34,4.87,1.98,0.95
"ACSSF","ca","140","00","0006211",,,,,"06","037",,,"575002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575002","Census Tract 5750.02",,,"Census Tract 5750.02, Los Angeles County, California","06037575002","965016","0",,,,,,,,4497,189,106,182,68,469,1037,456,829,378,532,132,119,4.2,2.36,4.05,1.51,10.43,23.06,10.14,18.43,8.41,11.83,2.94,2.65
"ACSSF","ca","140","00","0006212",,,,,"06","037",,,"575101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575101","Census Tract 5751.01",,,"Census Tract 5751.01, Los Angeles County, California","06037575101","420471","0",,,,,,,,4210,498,376,287,132,391,755,620,424,414,156,95,62,11.83,8.93,6.82,3.14,9.29,17.93,14.73,10.07,9.83,3.71,2.26,1.47
"ACSSF","ca","140","00","0006213",,,,,"06","037",,,"575102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575102","Census Tract 5751.02",,,"Census Tract 5751.02, Los Angeles County, California","06037575102","405956","0",,,,,,,,4336,372,317,368,104,446,679,478,678,609,205,80,0,8.58,7.31,8.49,2.4,10.29,15.66,11.02,15.64,14.05,4.73,1.85,0
"ACSSF","ca","140","00","0006214",,,,,"06","037",,,"575103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575103","Census Tract 5751.03",,,"Census Tract 5751.03, Los Angeles County, California","06037575103","480128","0",,,,,,,,5239,278,274,310,77,711,1187,741,756,495,314,71,25,5.31,5.23,5.92,1.47,13.57,22.66,14.14,14.43,9.45,5.99,1.36,0.48
"ACSSF","ca","140","00","0006215",,,,,"06","037",,,"575201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575201","Census Tract 5752.01",,,"Census Tract 5752.01, Los Angeles County, California","06037575201","566597","0",,,,,,,,4986,380,382,400,262,657,880,471,569,454,348,99,84,7.62,7.66,8.02,5.25,13.18,17.65,9.45,11.41,9.11,6.98,1.99,1.68
"ACSSF","ca","140","00","0006216",,,,,"06","037",,,"575202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575202","Census Tract 5752.02",,,"Census Tract 5752.02, Los Angeles County, California","06037575202","404093","0",,,,,,,,3851,301,277,395,177,470,468,627,415,368,353,0,0,7.82,7.19,10.26,4.6,12.2,12.15,16.28,10.78,9.56,9.17,0,0
"ACSSF","ca","140","00","0006217",,,,,"06","037",,,"575300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575300","Census Tract 5753",,,"Census Tract 5753, Los Angeles County, California","06037575300","648065","0",,,,,,,,4379,417,262,362,215,535,786,692,316,400,229,122,43,9.52,5.98,8.27,4.91,12.22,17.95,15.8,7.22,9.13,5.23,2.79,0.98
"ACSSF","ca","140","00","0006218",,,,,"06","037",,,"575401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575401","Census Tract 5754.01",,,"Census Tract 5754.01, Los Angeles County, California","06037575401","821449","68477",,,,,,,,4714,337,528,362,157,589,1114,409,595,427,160,21,15,7.15,11.2,7.68,3.33,12.49,23.63,8.68,12.62,9.06,3.39,0.45,0.32
"ACSSF","ca","140","00","0006219",,,,,"06","037",,,"575402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575402","Census Tract 5754.02",,,"Census Tract 5754.02, Los Angeles County, California","06037575402","323805","0",,,,,,,,3878,294,309,385,238,375,821,580,409,320,97,39,11,7.58,7.97,9.93,6.14,9.67,21.17,14.96,10.55,8.25,2.5,1.01,0.28
"ACSSF","ca","140","00","0006220",,,,,"06","037",,,"575801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575801","Census Tract 5758.01",,,"Census Tract 5758.01, Los Angeles County, California","06037575801","384509","51710",,,,,,,,2270,184,162,257,63,209,367,395,214,344,63,10,2,8.11,7.14,11.32,2.78,9.21,16.17,17.4,9.43,15.15,2.78,0.44,0.09
"ACSSF","ca","140","00","0006221",,,,,"06","037",,,"575802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575802","Census Tract 5758.02",,,"Census Tract 5758.02, Los Angeles County, California","06037575802","320941","0",,,,,,,,5171,408,505,343,296,854,717,483,637,576,262,67,23,7.89,9.77,6.63,5.72,16.52,13.87,9.34,12.32,11.14,5.07,1.3,0.44
"ACSSF","ca","140","00","0006222",,,,,"06","037",,,"575803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575803","Census Tract 5758.03",,,"Census Tract 5758.03, Los Angeles County, California","06037575803","199589","0",,,,,,,,3175,243,285,67,92,252,649,311,224,276,450,223,103,7.65,8.98,2.11,2.9,7.94,20.44,9.8,7.06,8.69,14.17,7.02,3.24
"ACSSF","ca","140","00","0006223",,,,,"06","037",,,"575901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575901","Census Tract 5759.01",,,"Census Tract 5759.01, Los Angeles County, California","06037575901","417612","68001",,,,,,,,3675,247,191,316,177,456,714,471,515,397,92,74,25,6.72,5.2,8.6,4.82,12.41,19.43,12.82,14.01,10.8,2.5,2.01,0.68
"ACSSF","ca","140","00","0006224",,,,,"06","037",,,"575902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037575902","Census Tract 5759.02",,,"Census Tract 5759.02, Los Angeles County, California","06037575902","350516","0",,,,,,,,4953,272,185,122,61,566,1278,897,653,407,195,274,43,5.49,3.74,2.46,1.23,11.43,25.8,18.11,13.18,8.22,3.94,5.53,0.87
"ACSSF","ca","140","00","0006225",,,,,"06","037",,,"576001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576001","Census Tract 5760.01",,,"Census Tract 5760.01, Los Angeles County, California","06037576001","1802546","1343803",,,,,,,,5173,113,25,46,16,171,1645,1296,596,961,242,62,0,2.18,0.48,0.89,0.31,3.31,31.8,25.05,11.52,18.58,4.68,1.2,0
"ACSSF","ca","140","00","0006226",,,,,"06","037",,,"576200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576200","Census Tract 5762",,,"Census Tract 5762, Los Angeles County, California","06037576200","696659","0",,,,,,,,5049,111,110,252,184,475,1225,998,806,545,244,71,28,2.2,2.18,4.99,3.64,9.41,24.26,19.77,15.96,10.79,4.83,1.41,0.55
"ACSSF","ca","140","00","0006227",,,,,"06","037",,,"576301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576301","Census Tract 5763.01",,,"Census Tract 5763.01, Los Angeles County, California","06037576301","548536","0",,,,,,,,4669,226,223,285,102,542,847,683,458,824,272,153,54,4.84,4.78,6.1,2.18,11.61,18.14,14.63,9.81,17.65,5.83,3.28,1.16
"ACSSF","ca","140","00","0006228",,,,,"06","037",,,"576302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576302","Census Tract 5763.02",,,"Census Tract 5763.02, Los Angeles County, California","06037576302","323710","0",,,,,,,,3318,238,293,179,220,344,672,457,361,287,142,96,29,7.17,8.83,5.39,6.63,10.37,20.25,13.77,10.88,8.65,4.28,2.89,0.87
"ACSSF","ca","140","00","0006229",,,,,"06","037",,,"576401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576401","Census Tract 5764.01",,,"Census Tract 5764.01, Los Angeles County, California","06037576401","324020","0",,,,,,,,4578,294,331,568,163,422,852,572,414,698,210,11,43,6.42,7.23,12.41,3.56,9.22,18.61,12.49,9.04,15.25,4.59,0.24,0.94
"ACSSF","ca","140","00","0006230",,,,,"06","037",,,"576402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576402","Census Tract 5764.02",,,"Census Tract 5764.02, Los Angeles County, California","06037576402","324449","0",,,,,,,,4760,351,381,475,207,571,831,562,650,471,200,8,53,7.37,8,9.98,4.35,12,17.46,11.81,13.66,9.89,4.2,0.17,1.11
"ACSSF","ca","140","00","0006231",,,,,"06","037",,,"576403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576403","Census Tract 5764.03",,,"Census Tract 5764.03, Los Angeles County, California","06037576403","324542","0",,,,,,,,5303,293,467,463,157,635,1155,687,688,475,189,69,25,5.53,8.81,8.73,2.96,11.97,21.78,12.95,12.97,8.96,3.56,1.3,0.47
"ACSSF","ca","140","00","0006232",,,,,"06","037",,,"576501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576501","Census Tract 5765.01",,,"Census Tract 5765.01, Los Angeles County, California","06037576501","291373","0",,,,,,,,3186,197,201,304,158,234,767,518,320,187,182,108,10,6.18,6.31,9.54,4.96,7.34,24.07,16.26,10.04,5.87,5.71,3.39,0.31
"ACSSF","ca","140","00","0006233",,,,,"06","037",,,"576502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576502","Census Tract 5765.02",,,"Census Tract 5765.02, Los Angeles County, California","06037576502","307611","0",,,,,,,,5111,206,223,114,268,614,1690,688,424,549,300,27,8,4.03,4.36,2.23,5.24,12.01,33.07,13.46,8.3,10.74,5.87,0.53,0.16
"ACSSF","ca","140","00","0006234",,,,,"06","037",,,"576503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576503","Census Tract 5765.03",,,"Census Tract 5765.03, Los Angeles County, California","06037576503","311783","0",,,,,,,,4039,127,55,208,99,568,986,631,614,407,232,77,35,3.14,1.36,5.15,2.45,14.06,24.41,15.62,15.2,10.08,5.74,1.91,0.87
"ACSSF","ca","140","00","0006235",,,,,"06","037",,,"576601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576601","Census Tract 5766.01",,,"Census Tract 5766.01, Los Angeles County, California","06037576601","488000","3566",,,,,,,,3894,91,180,13,51,133,902,1010,431,585,371,125,2,2.34,4.62,0.33,1.31,3.42,23.16,25.94,11.07,15.02,9.53,3.21,0.05
"ACSSF","ca","140","00","0006236",,,,,"06","037",,,"576602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576602","Census Tract 5766.02",,,"Census Tract 5766.02, Los Angeles County, California","06037576602","559795","4433921",,,,,,,,4876,37,69,225,0,414,1318,807,759,670,408,158,11,0.76,1.42,4.61,0,8.49,27.03,16.55,15.57,13.74,8.37,3.24,0.23
"ACSSF","ca","140","00","0006237",,,,,"06","037",,,"576700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576700","Census Tract 5767",,,"Census Tract 5767, Los Angeles County, California","06037576700","857026","1651005",,,,,,,,4120,282,62,60,12,208,1025,581,486,644,517,145,98,6.84,1.5,1.46,0.29,5.05,24.88,14.1,11.8,15.63,12.55,3.52,2.38
"ACSSF","ca","140","00","0006238",,,,,"06","037",,,"576801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576801","Census Tract 5768.01",,,"Census Tract 5768.01, Los Angeles County, California","06037576801","514192","0",,,,,,,,3780,261,189,157,25,121,960,867,344,483,182,99,92,6.9,5,4.15,0.66,3.2,25.4,22.94,9.1,12.78,4.81,2.62,2.43
"ACSSF","ca","140","00","0006239",,,,,"06","037",,,"576802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576802","Census Tract 5768.02",,,"Census Tract 5768.02, Los Angeles County, California","06037576802","467801","0",,,,,,,,4039,100,81,124,85,239,1200,719,555,373,464,40,59,2.48,2.01,3.07,2.1,5.92,29.71,17.8,13.74,9.23,11.49,0.99,1.46
"ACSSF","ca","140","00","0006240",,,,,"06","037",,,"576901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576901","Census Tract 5769.01",,,"Census Tract 5769.01, Los Angeles County, California","06037576901","444895","0",,,,,,,,5165,227,365,240,123,415,1412,633,871,590,276,12,1,4.39,7.07,4.65,2.38,8.03,27.34,12.26,16.86,11.42,5.34,0.23,0.02
