Census_Tract_ID,Geographic Identifier,Area Name,Qualifying Name,Area (Land),Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over
CT_ID_TXT,Geo_GEOID,Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,SE_A01001_001,SE_A01001_002,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
06037127803,14000US06037127803,Census Tract 1278.03,"Census Tract 1278.03, Los Angeles County, California",640835,0,4914,201,245,200,258,4.09,11.78,4.99,4.07,5.25
06037127804,14000US06037127804,Census Tract 1278.04,"Census Tract 1278.04, Los Angeles County, California",638133,0,4823,252,213,159,58,5.22,8.85,4.42,3.3,1.2
06037127805,14000US06037127805,Census Tract 1278.05,"Census Tract 1278.05, Los Angeles County, California",614510,0,3545,147,337,162,111,4.15,9.31,9.51,4.57,3.13
06037127806,14000US06037127806,Census Tract 1278.06,"Census Tract 1278.06, Los Angeles County, California",683161,0,3083,137,161,25,19,4.44,10.44,5.22,0.81,0.62
06037127910,14000US06037127910,Census Tract 1279.10,"Census Tract 1279.10, Los Angeles County, California",649785,0,4859,334,264,156,105,6.87,10.1,5.43,3.21,2.16
06037127920,14000US06037127920,Census Tract 1279.20,"Census Tract 1279.20, Los Angeles County, California",648714,0,4713,287,308,125,59,6.09,14.26,6.54,2.65,1.25
06037128101,14000US06037128101,Census Tract 1281.01,"Census Tract 1281.01, Los Angeles County, California",648896,0,2995,132,201,98,41,4.41,18.36,6.71,3.27,1.37
06037128102,14000US06037128102,Census Tract 1281.02,"Census Tract 1281.02, Los Angeles County, California",648809,0,4888,201,290,89,26,4.11,14.61,5.93,1.82,0.53
06037128210,14000US06037128210,Census Tract 1282.10,"Census Tract 1282.10, Los Angeles County, California",549953,0,5358,566,206,45,51,10.56,11.55,3.84,0.84,0.95
06037128220,14000US06037128220,Census Tract 1282.20,"Census Tract 1282.20, Los Angeles County, California",555593,0,2779,179,147,94,39,6.44,14.54,5.29,3.38,1.4
06037128302,14000US06037128302,Census Tract 1283.02,"Census Tract 1283.02, Los Angeles County, California",688871,0,4826,394,326,155,35,8.16,8.77,6.76,3.21,0.73
