date_time,stid,relative_humidity_high,air_temp_high,heat_index_high,relative_humidity_low,air_temp_low,heat_index_low,lon,lat,geometry
2020-08-06,KLAX,83.69,73.4,73.11665,56.7,62.6,62.194509999999994,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-07,KLAX,88.02,73.4,73.11665,56.95,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-08,KLAX,86.31,71.6,71.49337999999999,60.51,62.06,62.02257,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-09,KLAX,88.02,71.6,71.49337999999999,60.51,60.8,60.452799999999996,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-10,KLAX,88.02,71.6,71.30396999999999,60.27,62.06,61.89332,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-11,KLAX,89.71,69.8,69.70467000000001,64.1,60.08,60.000609999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-12,KLAX,89.67,71.96,71.73897999999998,57.12,60.08,59.8394,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-13,KLAX,81.11,80.96,80.56960026603964,36.54,64.94,64.94617,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-14,KLAX,81.33,80.06,81.46231159218613,46.72,68.0,67.92959,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-15,KLAX,78.54,86.0,86.74745797350397,45.72,69.8,69.91805000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-16,KLAX,78.7,91.94,90.8817224665188,31.83,71.6,71.90603999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-17,KLAX,93.98,78.8,79.26768000000001,61.44,68.0,68.72812,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-18,KLAX,86.69,84.2,86.52710085714398,48.42,69.08,69.76243,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-19,KLAX,83.13,84.92,86.52710085714398,44.69,71.6,72.36711,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-20,KLAX,88.46,84.2,86.52710085714398,51.58,71.6,72.36711,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-21,KLAX,90.09,80.6,83.30503992634459,61.44,71.06,71.9456,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-22,KLAX,90.04,89.6,90.35848358022417,38.29,69.8,70.63339,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-23,KLAX,88.54,82.4,86.2391334300429,61.67,71.6,72.61761999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-24,KLAX,90.04,78.8,79.85894,69.4,69.08,69.91846999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-25,KLAX,93.98,75.2,75.67287,68.75,68.0,68.64963,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-26,KLAX,93.98,75.2,75.67287,64.98,66.02,66.70898,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-27,KLAX,88.2,78.8,79.09143,53.62,66.2,66.41019,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-28,KLAX,93.89,75.2,75.28606,53.62,64.04,64.23206,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-29,KLAX,88.02,71.96,71.73897999999998,60.51,62.06,62.02257,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-30,KLAX,88.02,73.4,73.11665,56.95,62.06,62.02257,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-31,KLAX,88.11,71.96,71.73897999999998,60.51,64.04,63.92844000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-01,KLAX,82.65,73.4,73.11665,56.95,64.4,64.18156,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-02,KLAX,88.11,71.6,71.69407,64.32,62.6,62.43843999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-03,KLAX,88.11,73.94,74.27747,63.9,62.6,62.69694,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-04,KLAX,88.2,75.2,75.47406000000001,60.98,64.4,64.42455000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-05,KLAX,88.2,86.0,86.07198094209997,39.96,66.2,66.6654,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-06,KLAX,70.74,98.6,97.81235906264344,20.75,71.6,71.69407,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-07,KLAX,88.54,87.8,86.1337617415723,33.39,73.04,73.7429,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-08,KLAX,88.37,80.6,82.76507165723012,61.67,69.8,70.14318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-09,KLAX,93.94,75.2,75.67287,64.76,66.2,66.6654,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-10,KLAX,100.0,71.6,71.69407,68.61,62.06,62.37648,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-11,KLAX,93.89,75.2,74.94014,50.25,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-12,KLAX,82.77,73.4,73.11665,49.97,60.8,60.452799999999996,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-13,KLAX,93.89,75.2,75.47406000000001,64.32,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
